Title,Family,Synonyms,Common Names,Origin,Growth Habit,Earliest Record,Tool Used For Assessment,Predictive Tool Score,North,Central,South,Assessment Dates,Counties,Questionnaires
Fargesia nitida,Poaceae,Arundinaria nitida,Fountain bamboo,Asia Temperate,Graminoid,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,0,
Fatsia japonica,Araliaceae,,"Fatsia, Japanese aralia, paperplant",Asia Temperate,Shrub,1996,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 15, 2015",0,
Feijoa sellowiana ,Myrtaceae,Acca sellowiana,"Feijoa, pineapple guava",South America,"Shrub, Tree",1942,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 15, 2015",0,
Ficus altissima,Moraceae,,"Council tree, false banyan","Asia Temperate, Asia Tropical",Tree,1932,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Invasive (No Uses),"Jan 1, 2004May 15, 2015",6,
Ficus americana,Moraceae,,"Jamaican cherry  fig, West Indian laurel fig","Central America, North America-Mexico, South America","Shrub, Tree",1988,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 4, 2016",1,
Ficus benghalensis,Moraceae,,"Banyan tree, Indian banyan",Asia Tropical,Tree,1936,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,2,
Ficus benjamina,Moraceae,,Weeping fig,"Asia Temperate, Asia Tropical, Australasia, Pacific","Shrub, Tree",1932,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 21, 2016",4,
Ficus carica,Moraceae,,"Common fig, edible fig","Africa, Asia Temperate, Asia Tropical, Europe","Shrub, Tree",1961,Predictive Tool,13,High Invasion Risk,High Invasion Risk,High Invasion Risk,16-Oct-18,6,
Ficus deltoidea,Moraceae,Ficus diversifolia,"Mistletoe fig, mistletoe rubberplant",Asia Tropical,"Shrub, Tree",1991,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",1,
Ficus elastica,Moraceae,,"India rubber fig, India rubber tree, Indian rubberplant, rubber tree",Asia Tropical,Tree,1936,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 4, 2016",0,
Ficus lyrata,Moraceae,,Fiddleleaf fig,Africa,Tree,1931,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 15, 2015",0,
Ficus microcarpa,Moraceae,Ficus thonningii,"Chinese Banyan, Cuban-Laurel, Indian Laurel, Laurel Fig",Africa,"Shrub, Subshrub, Tree, Vine",1936,Status Assessment,N/A,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2007Jan 1, 2012May 15, 2015",13,
Ficus montana,Moraceae,Ficus quercifolia,Oakleaf fig,Asia Tropical,Vine,1994,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 15, 2015",0,
Ficus pumila,Moraceae,,"Climbing fig, creeping fig","Asia Temperate, Asia Tropical","Forb/Herb, Vine",1927,Status Assessment,10,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 3, 2016",10,
Ficus religiosa,Moraceae,,"Bo tree, peepul tree, sacred fig",Asia Tropical,Tree,1936,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 3, 2016",4,
Ficus sagittata ,Moraceae,Ficus radicans,Trailing fig,"Asia Temperate, Asia Tropical, Pacific",Vine,,Status Assessment,0,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2005May 15, 2015",0,
Firmiana simplex,Malvaceae,,"Chinese parasoltree, Japanese varnish-tree",Asia Temperate,"Shrub, Tree",1970,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 4, 2016",7,
Fittonia verschaffeltii,Acanthaceae,Fittonia albivenis,"Mosaic plant, silver-net plant",South America,Forb/Herb,1941,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 15, 2015",0,
Flacourtia indica,Salicaceae,,Governor's Plum,"Africa, Asia Temperate, Asia Tropical","Shrub, Tree",1930,Status Assessment,N/A,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2006Jan 1, 2012May 15, 2015",5,
Flueggea virosa,Euphorbiaceae,Flueggea acidoton,"Common bushweed, flueggea, simpleleaf bushweed",Africa,"Shrub, Tree",1961,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Aug 8, 2016",0,
Furcraea cabuya,Asparagaceae,,Central American sisal,"Central America, North America-Mexico, South America","Forb/Herb, Subshrub",1979,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 2, 2016",0,
Furcraea foetida,Agavaceae,,Mauritius Hemp,South America,"Forb/Herb, Subshrub",1979,Status Assessment,N/A,Caution,Invasive (No Uses),Invasive (No Uses),"Jan 1, 2007Jan 1, 2012May 15, 2015",2,
Galega officinalis,Fabaceae,,"Professor weed, goatsrue","Africa, Asia Temperate, Asia Tropical, Europe",Forb/Herb,,,N/A,Prohibited,Prohibited,Prohibited,12-May-14,0,
Galphimia gracilis,Malpighiaceae,,"Galphimia, rain-of-gold, slender goldshower, thryallis",North America-Mexico,"Shrub, Subshrub",1926,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 2, 2016",1,
Gardenia jasminoides,Rubiaceae,Gardenia angusta,"Cape jasmine, gardenia","Asia Temperate, Asia Tropical",Shrub,0,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005Jan 4, 2016",0,
Gaura lindheimeri,Onagraceae,Oenothera lindheimeri,"Gaura, Lindheimer's beeblossom",Unknown,Forb/Herb,2005,Predictive Tool,4,Evaluate Further,Evaluate Further,Evaluate Further,16-Oct-18,0,
Genipa americana,Rubiaceae,"Genipa americana var. caruto, Genipa caruto",Jagua,"Central America, North America-Mexico, South America",Tree,0,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",0,
Gerbera jamesonii,Asteraceae,,"African daisy, barberton daisy, transvaal daisy",Africa,Forb/Herb,1964,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 18, 2016",1,
Gloriosa superba,Colchicaceae,,Flamelily,"Africa, Asia Temperate, Asia Tropical","Forb/Herb, Vine",,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 18, 2016",6,
Glottiphyllum depressum,Aizoaceae,,Fig marigold,Africa,Forb/Herb,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 15, 2015",0,
Gomphrena globosa,Amaranthaceae,,Common globe amaranth,"Africa, Asia Temperate, Asia Tropical, Central America, North America-Mexico, Pacific, South America",Forb/Herb,1987,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",0,
Grevillea robusta,Proteaceae,,Silkoak,Australasia,Tree,1894,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),1-Jan-07,12,
Gymnocoronis spilanthoides,Asteraceae,"Alomia spilanthoides , Alomia spilanthoides , Gymnocoronis attenuata, Gymnocoronis spilanthoides var. attenuata, Gymnocoronis subcordata, Piqueria attenuata, Piqueria subcordata","Senegal tea (plant), temple plant, spade-leaf plant, water snowball, Giant green hygro, costata",South America,"Aquatic, Forb/Herb",,Predictive Tool,17,High Invasion Risk,High Invasion Risk,High Invasion Risk,5-Oct-16,0,
Gynerium sagittatum,Poaceae,,"Wild cane, arrow cane","Central America, North America-Mexico, South America",Graminoid,,Predictive Tool,13,High Invasion Risk,High Invasion Risk,High Invasion Risk,14-May-15,0,
Gynura aurantiaca,Asteraceae,,Velvetplant,Asia Tropical,"Forb/Herb, Vine",1940,Status Assessment,-4,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2005May 15, 2015",2,
Habranthus robustus,Amaryllidaceae,,Copperlily,South America,Forb/Herb,2001,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 18, 2016",5,
Habranthus tubispathus,Amaryllidaceae,,Rio Grande copperlily,South America,Forb/Herb,1935,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 18, 2016",1,
Haematoxylum campechianum,Fabaceae,,"Bloodwoodtree, logwood","Central America, North America-Mexico, South America","Shrub, Tree",,,N/A,,,,,0,
Harpullia arborea,Sapindaceae,,"Harpullia, uas","Asia Tropical, Australasia, Pacific",Tree,1963,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2005May 28, 2015",1,
Hedera canariensis,Araliaceae,,"Algerian ivy, canary ivy",Africa,Vine,2011,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005Jan 4, 2016",0,
Hedera helix,Araliaceae,,English ivy,"Africa, Asia Temperate, Europe",Vine,1973,Status Assessment,11,Not a problem species (documented),Not a problem species (documented),Not a problem species (un-documented),"Jan 1, 2005Jul 7, 2016",12,
Hedychium coronarium,Zingiberaceae,,"Butterfly ginger, white garland-lily, white gingerlily","Asia Temperate, Asia Tropical",Forb/Herb,1959,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Not a problem species (un-documented),1-Jan-07,13,
Helianthus annuus,Asteraceae,,"Annual Sunflower, Common Sunflower, Sunflower",Unknown,Forb/Herb,1948,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012Dec 16, 2016",21,
Helianthus argophyllus,Asteraceae,,Silverleaf sunflower,Unknown,Forb/Herb,1893,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 18, 2016",4,
Hemarthria altissima,Poaceae,,Limpograss,"Africa, Asia Temperate, Asia Tropical, Europe",Graminoid,1965,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Not a problem species (documented),"Jan 1, 2006Dec 14, 2016",17,
Hemerocallis fulva,Hemerocallidaceae,,"Daylily, orange daylily","Asia Temperate, Asia Tropical",Forb/Herb,1982,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 22, 2016",7,
Heracleum mantegazzianum,Apiaceae,,Giant hogweed,Asia Temperate,Forb/Herb,,,N/A,Prohibited,Prohibited,Prohibited,12-May-14,0,
Heteropogon melanocarpus,Poaceae,"Andropogon melanocarpus, Andropogon polystichus, Cymbopogon melanocarpus, Heteropogon acuminatus, Heteropogon polystichus",Sweet tanglehead,Asia Tropical,Graminoid,,,N/A,,,,,0,
Heteropterys brachiata,Malpighiaceae,,"Beechy's withe, redwing",Unknown,Vine,1969,Predictive Tool,14,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-13,1,
Hibiscus acetosella,Malvaceae,,African rosemallow,Africa,"Shrub, Subshrub",1962,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2007Mar 20, 2017",13,
Hibiscus cannabinus,Malvaceae,,"Kenaf, Brown Indianhemp",Africa,Forb/Herb,1943,Predictive Tool,6,Evaluate Further,Evaluate Further,Evaluate Further,"Jan 1, 2007Jan 1, 2011Aug 11, 2014",1,
Hibiscus radiatus,Malvaceae,,Monarch rosemallow,Asia Tropical,"Forb/Herb, Subshrub",1964,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",5,
Hibiscus rosa-sinensis,Malvaceae,,"Chinese hibiscus, garden rosemallow, shoe-black-plant, tropical hibiscus",Asia Tropical,"Shrub, Subshrub, Tree",1934,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",4,
Hibiscus rosa-sinensis var schizopetalus ,Malvaceae,Hibiscus schizopetalus,Fringed rosemallow,Africa,"Shrub, Subshrub, Tree",1964,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Hibiscus trionum,Malvaceae,,Flower-of-an-hour,"Africa, Asia Temperate, Asia Tropical, Europe",Forb/Herb,1986,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",1,
Hiptage benghalensis,Malpighiaceae,,Hiptage,"Asia Temperate, Asia Tropical","Shrub, Vine",1948,,N/A,,,,,1,
Holmskioldia sanguinea,Lamiaceae,,"Chinese hat, Chinese hatplant, Mandarin's hat",Asia Tropical,"Shrub, Vine",1937,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 21, 2016",3,
Humulus lupulus,Cannabaceae,,"Hop, common hop, European hop, bine","Asia Temperate, Europe","Forb/Herb, Vine",,Predictive Tool,6,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,16-Sep-15,0,
Hydrangea macrophylla,Hydrangeaceae,,"Bigleaf hydrangea, French hydrangea",Asia Temperate,Shrub,0,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Hydrilla verticillata,Hydrocharitaceae,,"Hydrilla, waterthyme","Africa, Asia Temperate, Asia Tropical, Australasia, Europe",Aquatic,1940,,N/A,Prohibited,Prohibited,Prohibited,,36,
Hygrophila polysperma,Acanthaceae,,"Green hygro, miramar weed","Asia Temperate, Asia Tropical",Aquatic,1965,,25,High Invasion Risk,High Invasion Risk,High Invasion Risk,,12,
Hylocereus undatus,Cactaceae,Cereus undatus,"Nightblooming cactus, nightblooming cereus",South America,"Tree, Vine",1962,Status Assessment,6,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2007Mar 20, 2017",2,
Hymenachne amplexicaulis,Poaceae,,West Indian marsh grass,"Central America, North America-Mexico, South America",Graminoid,1957,Status Assessment,N/A,Invasive (No Uses),Invasive (No Uses),Invasive (No Uses),13-May-14,21,
Hyparrhenia rufa,Poaceae,,"Giant thatching grass, jaragua, jaraguagrass",Africa,Graminoid,1922,Predictive Tool,16,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Aug-17,15,
Hypoestes phyllostachya,Acanthaceae,,Polka-dot plant,Africa,Forb/Herb,1953,,N/A,,,,,3,
Mesosphaerum pectinatum,Lamiaceae,Hyptis pectinata,Comb bushmint,"Central America, North America-Mexico, South America","Forb/Herb, Subshrub",1878,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-06,13,
Ilex cornuta,Aquifoliaceae,,"Chinese holly, horned holly",Asia Temperate,"Shrub, Tree",1999,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Ilex crenata,Aquifoliaceae,,Japanese holly,Asia Temperate,"Shrub, Tree",1999,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Impatiens balsamina,Balsaminaceae,,"Garden balsam, rose balsam, spotted snapweed, touch-me-not",Asia Tropical,Forb/Herb,1999,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 21, 2016",3,
Impatiens walleriana,Balsaminaceae,,"Bizzy-lizzie, buzzy lizzy, garden impatiens, impatiens",Africa,Forb/Herb,1985,,N/A,,,,,3,
Imperata brasiliensis,Poaceae,,Brazilian satintail,"Central America, North America-Mexico, South America",Graminoid,1961,,N/A,Prohibited,Prohibited,Prohibited,12-May-14,14,
Imperata cylindrica,Poaceae,,Cogongrass,"Africa, Asia Temperate, Asia Tropical, Australasia, Europe",Graminoid,1887,,23,High Invasion Risk,High Invasion Risk,High Invasion Risk,12-May-14,52,
Indigofera hirsuta,Fabaceae,,"Hairy Indigo, Roughhairy Indigo","Africa, Asia Temperate, Asia Tropical, Australasia","Forb/Herb, Subshrub",1948,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012Dec 13, 2016",53,
Indigofera pilosa,Fabaceae,,Softhairy indigo,Africa,Forb/Herb,1959,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 21, 2016",5,
Indigofera spicata,Fabaceae,Indigofera hendecaphylla,"Creeping indigo, trailing indigo","Africa, Asia Temperate, Asia Tropical, Pacific",Forb/Herb,1904,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012Dec 13, 2016",50,
Ipomoea aquatica,Convolvulaceae,,"Waterspinach, swamp morningglory","Africa, Asia Temperate, Asia Tropical, Australasia","Forb/Herb, Vine",1986,,N/A,Prohibited,Prohibited,Prohibited,,4,
Ipomoea asarifolia,Convolvulaceae,,Ginger-leaf morning-glory,"Africa, Asia Tropical, Australasia, South America",Forb/Herb,1994,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",1,
Ipomoea batatas,Convolvulaceae,,Sweet potato,North America-Mexico,"Forb/Herb, Vine",1948,Status Assessment,3,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-07,5,
Ipomoea cairica,Convolvulaceae,,"Mile-a-minute vine, Cairo morningglory","Africa, Asia Temperate, Asia Tropical, Australasia","Forb/Herb, Vine",1928,Predictive Tool,11,High Invasion Risk,High Invasion Risk,High Invasion Risk,16-Oct-18,26,
Ipomoea carnea subsp fistulosa  ,Convolvulaceae,Ipomoea fistulosa,"Bush morning-glory, gloria de la manana, shrub morning-glory","Central America, North America-Mexico, South America","Shrub, Vine",1966,,N/A,Prohibited,Prohibited,Prohibited,,0,
